Key,Id,Shared Comments,English(en),English(en) Comments,Korean(ko),Korean(ko) Comments
ACHIEVEMENT-DONE_TUTORIALS-NAME,,,mite,,응애,
ACHIEVEMENT-HIGHEST_STAGE_1-NAME,,,Start training,,훈련를 시작합니다,
ACHIEVEMENT-HIGHEST_STAGE_5-NAME,,,another enemy,,또 다른 적,
ACHIEVEMENT-HIGHEST_STAGE_10-NAME,,,QA teacher,,QA선생님,
ACHIEVEMENT-HIGHEST_STAGE_15-NAME,,,15th floor climber,,15층 등반자,
ACHIEVEMENT-HIGHEST_STAGE_20-NAME,,,20th floor climber,,20층 등반자,
ACHIEVEMENT-HIGHEST_STAGE_25-NAME,,,25th floor climber,,25층 등반자,
ACHIEVEMENT-HIGHEST_STAGE_30-NAME,,,end of the world,,세상의 끝,
ACHIEVEMENT-KILL_BOSS_1-NAME,,,That big one,,그 큰 거,
ACHIEVEMENT-KILL_BOSS_3-NAME,,,Is it okay if I break it?,,부숴도 괜찮은 건가요?,
ACHIEVEMENT-KILL_BOSS_10-NAME,,,big guys,,덩치만 큰 녀석들,
ACHIEVEMENT-KILL_BOSS_20-NAME,,,The lab is full of scrap metal,,실험실이 고철로 가득해,
ACHIEVEMENT-KILL_BOSS_50-NAME,,,Is this the end?,,이게 끝인가요?,
ACHIEVEMENT-KILL_BOSS_100-NAME,,,“weak”,,"""약해""",
ACHIEVEMENT-KILL_MINION_1-NAME,,,first kill,,퍼스트 킬,
ACHIEVEMENT-KILL_MINION_20-NAME,,,Little Destroyer,,꼬꼬마 파괴자,
ACHIEVEMENT-KILL_MINION_100-NAME,,,Someone please clean these up,,누가 이것들 좀 치워봐,
ACHIEVEMENT-KILL_MINION_200-NAME,,,It's being massacred,,학살중입니다,
ACHIEVEMENT-KILL_MINION_500-NAME,,,ruler of the battlefield,,전장의 지배자,
ACHIEVEMENT-KILL_MINION_1000-NAME,,,over budget,,예산 초과,
ACHIEVEMENT-UNLOCK_PERK_1-NAME,,,P.E.R.K.,,P.E.R.K.,
ACHIEVEMENT-UNLOCK_PERK_10-NAME,,,PIO,,PIO,
ACHIEVEMENT-UNLOCK_PERK_30-NAME,,,3030,,3030,
ACHIEVEMENT-UNLOCK_PERK_50-NAME,,,P.5050,,P.5050,
ACHIEVEMENT-UNLOCK_PERK_72-NAME,,,3.72,,3.72,
ACHIEVEMENT-UNLOCK_PERK_120-NAME,,,good luck,,강운,
ACHIEVEMENT-DONE_TUTORIALS-DESC,,,Completed the tutorial,,튜토리얼을 완료했다,
ACHIEVEMENT-HIGHEST_STAGE_1-DESC,,,Finish training for the first time,,처음으로 훈련을 종료,
ACHIEVEMENT-HIGHEST_STAGE_5-DESC,,,End with stage 5 or higher,,5스테이지 이상으로 종료,
ACHIEVEMENT-HIGHEST_STAGE_10-DESC,,,Clear stage 10,,10스테이지 클리어,
ACHIEVEMENT-HIGHEST_STAGE_15-DESC,,,End with stage 15 or higher,,15스테이지 이상으로 종료,
ACHIEVEMENT-HIGHEST_STAGE_20-DESC,,,End with stage 20 or more,,20스테이지 이상으로 종료,
ACHIEVEMENT-HIGHEST_STAGE_25-DESC,,,End with stage 25 or higher,,25스테이지 이상으로 종료,
ACHIEVEMENT-HIGHEST_STAGE_30-DESC,,,End with stage 30 or more,,30스테이지 이상으로 종료,
