Key,Id,Shared Comments,English(en),English(en) Comments,Korean(ko),Korean(ko) Comments
"UI-SelectorMenu_AP",5216161792,"","AP","","장 갑",""
"UI-SelectorMenu_Weight
",22163581976576,"","Weight","","중 량",""
"UI-SelectorMenu_MoveSpeed",22261414117376,"","Movement SPD","","이동 속도",""
"UI-SelectorMenu_Jump",22263674847232,"","Jump Power","","점프력",""
"UI-SelectorMenu_Hover",22359359504384,"","VTOL","","수직 상승",""
"UI-SelectorMenu_RotateSPD",22365139255296,"","Rotate SPD","","회전 속도",""
"UI-SelectorMenu_BoosterGauge",22366649204736,"","Booster Gauge","","부스터 용량",""
"UI-SelectorMenu_BoosterPower",22367920078848,"","Booster Power","","부스터 출력",""
"UI-AlertACPPopup",22369195147264,"","Insufficient achievement points.","","업적 포인트가 부족합니다.",""
"UI-ArmSelector_Weight",26895998402560,"","Weight","","무 게",""
"UI-ArmSelector_ATK",26899181879296,"","ATK","","공격력",""
"UI-ArmSelector_BulletSPD",26899945242624,"","BulletSPD","","탄 속",""
"UI-ArmSelector_FireRate",26900658274304,"","FireRate","","발사 속도",""
"UI-ArmSelector_ReloadSPD",26901291614208,"","ReloadSPD","","재장전",""
"UI-ArmSelector_ShotsPerFire",26901971091456,"","ShotsPerFire","","발사 수",""
"UI-ArmSelector_Accuracy",26902721871872,"","Accuracy","","명중률",""
"UI-LowerSelector_AP",26903430709248,"","AP","","장 갑",""
"UI-LowerSelector_Weight",26904110186496,"","Weight","","무 게",""
"UI-LowerSelector_MovementSPD",26904844189696,"","MovementSPD","","이동 속도",""
"UI-LowerSelector_JumpPower",26905527861248,"","JumpPower","","점프력",""
"UI-LowerSelector_BoosterPower",26906224115712,"","BoosterPower","","부스터 출",""
"UI-UnlockPartPopup_Point",26906966507520,"","Current achievement points :","","남은 업적포인트 :",""
"UI-UnlockPartPopup_Alert1",26907654373376,"","Would you like to use","","업적포인트",""
"UI-UnlockPartPopup_Alert2",37870243823616,"","achievement points to unlock the part?","","포인트를 사용하여
파츠 잠금을 해제하시겠습니까?",""
"UI-ChangeBtn_Point",42933796356096,"","Unlocked with achievement points.","","업적 포인트로 잠금 해제",""
"UI-ChangeBtn_Reward",43009759395840,"","Unlocked as an achievement reward.","","업적 보상으로 잠금 해제",""
"UI-PartsInfo",59091719176192,"","Unlock to access information","","잠금 해제 후 정보 확인 가능",""
